tvg_id,epg_id_matched,source,duplicate_sources
DocumentaryPlus.us@US,DocumentaryPlus.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DogtheBountyHunter.us@US,DogtheBountyHunter.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DogTV.us@SD,DogTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DontTellTheBride.uk@SD,DontTellTheBride.uk@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DoveChannel.us@SD,DoveChannel.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DraftKingsNetwork.us@SD,DraftKingsNetwork.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DryBarComedyPlus.us@SD,DryBarComedyPlus.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DungeonTV.us@SD,DungeonTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
Dynasty.us@SD,Dynasty.pluto,epg-xdbezrvvbu.xml.gz,
E.us@East,E.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
E.us@West,E.us@West,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
EbonyTVbyLionsgate.us@SD,EbonyTVbyLionsgate.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
EKeepingUp.us@SD,EKeepingUp.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ElectricNow.us@SD,ElectricNow.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
EntertainmentTonight.us@SD,EntertainmentTonight.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
ESPNDeportes.us@SD,ESPNDeportes.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ESPNews.us@SD,ESPNews.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ESPNU.us@SD,ESPNU.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
EstrellaGames.us@SD,EstrellaGames.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
EstrellaNews.us@SD,EstrellaNews.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
